PARK_NAME,PARK_STATUS,PARK_TYPE,SUB_TYPE,AREA_HECTARES,EXISTING_PARK_NO,CONSTRUCTED_YEAR,ACCESS_POINTS,COMPKEY,OBJECTID,Shape__Area,Shape__Length
NORTHAMPTON PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,6.211,271,1983,"NORTHAMPTON ST, NORTH PARK DR, NEPTUNE CT, NANPORT ST, NORMA CR",138480,610,119074.94140625,2831.06058965374
WALLEYE CHANNEL,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,0.972,598,1990,WESTCREEK BLVD,216434,611,18591.3671875,1048.7460608922
STEELWELL CHANNEL SOUTH ,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,1.382,590,1990,WESTCREEK BLVD,216435,612,26449.84375,1581.33535917756
BARRY POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.943,1514,2002,"MCLAUGHLIN RD, VAN KIRK DR",138012,613,37230.046875,886.035622490853
STEELWELL CHANNEL NORTH,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,0.351,591,1990,STEELWELL RD,216436,614,6723.22265625,458.063767627052
LANSING SQUARE PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.109,139,1979,"LANSING SQ, SANDALWOOD PY E ",138381,615,2094.921875,263.419751070755
BRIGHTON PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.15,124,1980,"BRIGHTON PL, SPRUCEDALE CRT, CRANMORE CRT",138066,616,2879.04296875,432.871877755199
CREDITVIEW SANDALWOOD PARK,ACTIVE,CITY PARKS,VALLEY,29.839,872,2015,,138149,617,1243306.43359375,4979.54839079722
FENTON VALLEY,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,20.321,365,2006,"RYCKMAN LANE, FENTON WAY",138240,618,390370.875,5744.11925925719
LORENZO PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,0.503,602,2013,"TEMPLEHILL RD, NAPERTON DR",205308,619,9655.5703125,400.022302211376
PURPLE LILAC PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.306,547,2013,DEGREY DR,212317,620,5879.125,357.918026166512
